household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"$15,000 to $24,999",30.0,No,Unstable,1 – I cannot afford these items,20560.0
"$15,000 to $24,999",26.0,No,Fluctuating,1 – I cannot afford these items,17167.0
"$15,000 to $24,999",28.0,Yes,Extremely unstable,2 – I can afford only some of these items,22204.0
"$15,000 to $24,999",43.0,Yes,Fluctuating,3 – my time fluctuates,24364.0
"$35,000 to $49,999",31.0,No,Unstable,1 – I cannot afford these items,48095.0
"Under $15,000",42.0,No,Extremely unstable,2 – I can afford only some of these items,9955.0
"$15,000 to $24,999",47.0,No,Unstable,2 – I can afford only some of these items,16450.0
"$15,000 to $24,999",49.0,No,Unstable,2 – I can afford only some of these items,18308.0
"$25,000 to $34,999",28.0,No,Extremely unstable,1 – I cannot afford these items,30395.0
"$25,000 to $34,999",32.0,No,Unstable,1 – I cannot afford these items,28465.0
"$15,000 to $24,999",39.0,No,Extremely unstable,2 – I can afford only some of these items,17554.0
"$25,000 to $34,999",29.0,Yes,Unstable,2 – I can afford only some of these items,28428.0
"Under $15,000",42.0,No,Extremely unstable,1 – I cannot afford these items,7655.0
"Under $15,000",39.0,No,Unstable,2 – I can afford only some of these items,10932.0
"Under $15,000",41.0,Yes,Fluctuating,2 – I can afford only some of these items,12409.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,12023.0
"Under $15,000",63.0,No,Unstable,1 – I cannot afford these items,5110.0
"Under $15,000",33.0,No,Extremely unstable,1 – I cannot afford these items,13951.0
"$35,000 to $49,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,42871.0
"Under $15,000",27.0,No,Extremely unstable,2 – I can afford only some of these items,13043.0
"$35,000 to $49,999",66.0,Yes,Unstable,2 – I can afford only some of these items,42798.0
"$15,000 to $24,999",62.0,Yes,Fluctuating,1 – I cannot afford these items,24365.0
"$15,000 to $24,999",36.0,No,Fluctuating,2 – I can afford only some of these items,20919.0
"$25,000 to $34,999",24.0,No,Fluctuating,2 – I can afford only some of these items,34278.0
"$15,000 to $24,999",35.0,No,Unstable,1 – I cannot afford these items,19557.0
"$15,000 to $24,999",33.0,No,Unstable,2 – I can afford only some of these items,19161.0
"$15,000 to $24,999",22.0,Yes,Unstable,1 – I cannot afford these items,19589.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,2798.0
"$15,000 to $24,999",30.0,No,Extremely unstable,2 – I can afford only some of these items,21665.0
"Under $15,000",29.0,No,Unstable,1 – I cannot afford these items,14180.0
"$15,000 to $24,999",26.0,No,Fluctuating,2 – I can afford only some of these items,21131.0
"$35,000 to $49,999",35.0,Yes,Fluctuating,2 – I can afford only some of these items,48732.0
"$15,000 to $24,999",31.0,No,Fluctuating,3 – my time fluctuates,24040.0
"$25,000 to $34,999",42.0,No,Fluctuating,2 – I can afford only some of these items,29281.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,7327.0
"$25,000 to $34,999",35.0,No,Unstable,2 – I can afford only some of these items,26122.0
"Under $15,000",35.0,No,Unstable,1 – I cannot afford these items,9909.0
"$35,000 to $49,999",48.0,No,Unstable,2 – I can afford only some of these items,46213.0
"$25,000 to $34,999",32.0,No,Fluctuating,2 – I can afford only some of these items,26206.0
"$15,000 to $24,999",34.0,No,Unstable,1 – I cannot afford these items,24252.0
"$25,000 to $34,999",31.0,Yes,Unstable,2 – I can afford only some of these items,34555.0
"Under $15,000",44.0,No,Extremely unstable,1 – I cannot afford these items,6291.0
"$15,000 to $24,999",31.0,No,Unstable,1 – I cannot afford these items,20629.0
"Under $15,000",22.0,Yes,Unstable,1 – I cannot afford these items,11611.0
"$25,000 to $34,999",40.0,No,Unstable,2 – I can afford only some of these items,33258.0
"$15,000 to $24,999",34.0,No,Unstable,1 – I cannot afford these items,18284.0
"$15,000 to $24,999",25.0,Yes,Unstable,2 – I can afford only some of these items,20931.0
"$35,000 to $49,999",37.0,No,Unstable,2 – I can afford only some of these items,49578.0
"Under $15,000",39.0,No,Unstable,1 – I cannot afford these items,10598.0
"Under $15,000",28.0,No,Unstable,1 – I cannot afford these items,14693.0
"$25,000 to $34,999",46.0,No,Fluctuating,2 – I can afford only some of these items,26900.0
"$15,000 to $24,999",36.0,No,Extremely unstable,1 – I cannot afford these items,16791.0
"Under $15,000",25.0,No,Unstable,1 – I cannot afford these items,842.0
"$35,000 to $49,999",35.0,Yes,Fluctuating,2 – I can afford only some of these items,43055.0
"$15,000 to $24,999",41.0,No,Extremely unstable,2 – I can afford only some of these items,23484.0
"$15,000 to $24,999",25.0,No,Unstable,2 – I can afford only some of these items,20705.0
"Under $15,000",34.0,Yes,Unstable,3 – my time fluctuates,12587.0
"$50,000 to $74,999",33.0,Yes,Unstable,2 – I can afford only some of these items,60743.0
"$25,000 to $34,999",34.0,No,Fluctuating,1 – I cannot afford these items,33867.0
"$15,000 to $24,999",32.0,Yes,Unstable,2 – I can afford only some of these items,21797.0
"$15,000 to $24,999",33.0,Yes,Unstable,2 – I can afford only some of these items,15188.0
"$50,000 to $74,999",25.0,No,Fluctuating,1 – I cannot afford these items,66187.0
"$25,000 to $34,999",29.0,No,Unstable,2 – I can afford only some of these items,27041.0
"$25,000 to $34,999",32.0,No,Extremely unstable,3 – my time fluctuates,31556.0
"$25,000 to $34,999",42.0,Yes,Unstable,2 – I can afford only some of these items,27532.0
"$25,000 to $34,999",32.0,Yes,Fluctuating,3 – my time fluctuates,32885.0
"Under $15,000",28.0,Yes,Fluctuating,3 – my time fluctuates,40.0
"$25,000 to $34,999",25.0,No,Extremely unstable,1 – I cannot afford these items,25217.0
"$15,000 to $24,999",37.0,Yes,Fluctuating,3 – my time fluctuates,16256.0
"$15,000 to $24,999",24.0,No,Unstable,1 – I cannot afford these items,21173.0
"Under $15,000",26.0,Yes,Fluctuating,2 – I can afford only some of these items,4751.0
"$25,000 to $34,999",24.0,Yes,Unstable,2 – I can afford only some of these items,27566.0
"$15,000 to $24,999",33.0,Yes,Fluctuating,3 – my time fluctuates,24468.0
"$35,000 to $49,999",28.0,Yes,Unstable,2 – I can afford only some of these items,38888.0
"$25,000 to $34,999",43.0,No,Fluctuating,2 – I can afford only some of these items,26703.0
"Under $15,000",52.0,No,Unstable,1 – I cannot afford these items,592.0
"Under $15,000",37.0,No,Extremely unstable,1 – I cannot afford these items,9203.0
"$25,000 to $34,999",34.0,No,Fluctuating,3 – my time fluctuates,32403.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,15363.0
"$15,000 to $24,999",41.0,No,Unstable,2 – I can afford only some of these items,18432.0
"$15,000 to $24,999",32.0,No,Extremely unstable,1 – I cannot afford these items,17158.0
"$25,000 to $34,999",50.0,Yes,Fluctuating,2 – I can afford only some of these items,30511.0
"$50,000 to $74,999",63.0,Yes,Unstable,2 – I can afford only some of these items,63257.0
"$15,000 to $24,999",37.0,Yes,Fluctuating,2 – I can afford only some of these items,16012.0
"$15,000 to $24,999",23.0,No,Unstable,3 – my time fluctuates,23286.0
"$35,000 to $49,999",55.0,No,Unstable,3 – my time fluctuates,41724.0
"$15,000 to $24,999",26.0,No,Fluctuating,1 – I cannot afford these items,20669.0
"Under $15,000",39.0,No,Unstable,2 – I can afford only some of these items,5492.0
"Under $15,000",26.0,No,Unstable,2 – I can afford only some of these items,9428.0
"$15,000 to $24,999",29.0,No,Fluctuating,1 – I cannot afford these items,18997.0
"$25,000 to $34,999",40.0,Yes,Fluctuating,3 – my time fluctuates,27511.0
"$15,000 to $24,999",32.0,Yes,Unstable,1 – I cannot afford these items,19019.0
"$25,000 to $34,999",28.0,Yes,Fluctuating,3 – my time fluctuates,32999.0
"$15,000 to $24,999",25.0,No,Unstable,3 – my time fluctuates,20698.0
"Under $15,000",37.0,No,Extremely unstable,3 – my time fluctuates,3542.0
"$25,000 to $34,999",45.0,No,Unstable,1 – I cannot afford these items,26478.0
"Under $15,000",46.0,Yes,Unstable,2 – I can afford only some of these items,13702.0
"$15,000 to $24,999",55.0,Yes,Fluctuating,2 – I can afford only some of these items,22256.0
"Under $15,000",29.0,No,Unstable,1 – I cannot afford these items,6499.0
"$50,000 to $74,999",44.0,No,Extremely unstable,1 – I cannot afford these items,72961.0
"$15,000 to $24,999",33.0,No,Fluctuating,2 – I can afford only some of these items,24386.0
"Under $15,000",32.0,Yes,Unstable,4 – I can afford these items,8850.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,3 – my time fluctuates,16312.0
"$15,000 to $24,999",36.0,No,Extremely unstable,1 – I cannot afford these items,15500.0
"$15,000 to $24,999",67.0,Yes,Fluctuating,3 – my time fluctuates,22426.0
"Under $15,000",59.0,No,Unstable,1 – I cannot afford these items,12508.0
"$15,000 to $24,999",26.0,No,Extremely unstable,1 – I cannot afford these items,24944.0
"Under $15,000",31.0,Yes,Fluctuating,3 – my time fluctuates,3603.0
"$25,000 to $34,999",23.0,No,Unstable,1 – I cannot afford these items,33276.0
"$15,000 to $24,999",37.0,No,Fluctuating,3 – my time fluctuates,18370.0
"Under $15,000",46.0,Yes,Unstable,2 – I can afford only some of these items,178.0
"Under $15,000",71.0,No,Unstable,2 – I can afford only some of these items,11015.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,932.0
"$15,000 to $24,999",69.0,No,Unstable,3 – my time fluctuates,16098.0
"$15,000 to $24,999",56.0,Yes,Fluctuating,3 – my time fluctuates,20187.0
"$15,000 to $24,999",32.0,No,Extremely unstable,2 – I can afford only some of these items,18774.0
"$25,000 to $34,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,26692.0
"Under $15,000",46.0,Yes,Unstable,2 – I can afford only some of these items,10980.0
"$15,000 to $24,999",35.0,Yes,Unstable,2 – I can afford only some of these items,16376.0
"$25,000 to $34,999",39.0,No,Unstable,1 – I cannot afford these items,32549.0
"$25,000 to $34,999",37.0,No,Unstable,1 – I cannot afford these items,27071.0
"$25,000 to $34,999",28.0,Yes,Unstable,1 – I cannot afford these items,27440.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,19688.0
"$15,000 to $24,999",25.0,No,Fluctuating,2 – I can afford only some of these items,18996.0
"$15,000 to $24,999",31.0,No,Unstable,1 – I cannot afford these items,15265.0
"Under $15,000",30.0,No,Stable,3 – my time fluctuates,10867.0
"Under $15,000",28.0,No,Fluctuating,3 – my time fluctuates,5515.0
"$25,000 to $34,999",28.0,No,Extremely unstable,1 – I cannot afford these items,29173.0
"$15,000 to $24,999",21.0,No,Fluctuating,2 – I can afford only some of these items,24553.0
"Under $15,000",52.0,No,Unstable,3 – my time fluctuates,12194.0
"$15,000 to $24,999",71.0,No,Fluctuating,2 – I can afford only some of these items,20711.0
"Under $15,000",46.0,No,Extremely unstable,2 – I can afford only some of these items,2169.0
"Under $15,000",60.0,Yes,Unstable,1 – I cannot afford these items,4719.0
"$35,000 to $49,999",33.0,No,Unstable,2 – I can afford only some of these items,43262.0
"$35,000 to $49,999",25.0,No,Unstable,3 – my time fluctuates,39303.0
"$50,000 to $74,999",29.0,Yes,Fluctuating,3 – my time fluctuates,63570.0
"$35,000 to $49,999",34.0,Yes,Fluctuating,3 – my time fluctuates,36310.0
"$15,000 to $24,999",51.0,No,Extremely unstable,1 – I cannot afford these items,16358.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,5537.0
"$15,000 to $24,999",33.0,No,Fluctuating,2 – I can afford only some of these items,16482.0
"$50,000 to $74,999",50.0,No,Fluctuating,2 – I can afford only some of these items,65143.0
"$15,000 to $24,999",53.0,Yes,Unstable,2 – I can afford only some of these items,21585.0
"$15,000 to $24,999",39.0,Yes,Unstable,2 – I can afford only some of these items,23754.0
"Under $15,000",57.0,No,Extremely unstable,1 – I cannot afford these items,8271.0
"$15,000 to $24,999",29.0,Yes,Fluctuating,2 – I can afford only some of these items,16525.0
"$35,000 to $49,999",47.0,No,Unstable,1 – I cannot afford these items,47984.0
"Under $15,000",58.0,No,Extremely unstable,1 – I cannot afford these items,12895.0
"Under $15,000",27.0,No,Fluctuating,2 – I can afford only some of these items,8617.0
"Under $15,000",34.0,Yes,Unstable,2 – I can afford only some of these items,10082.0
"$15,000 to $24,999",40.0,Yes,Fluctuating,2 – I can afford only some of these items,15648.0
"$15,000 to $24,999",29.0,Yes,Unstable,1 – I cannot afford these items,19404.0
"$35,000 to $49,999",58.0,No,Unstable,2 – I can afford only some of these items,49699.0
"Under $15,000",23.0,Yes,Extremely unstable,2 – I can afford only some of these items,6263.0
"$15,000 to $24,999",39.0,Yes,Unstable,3 – my time fluctuates,23875.0
"$35,000 to $49,999",28.0,No,Unstable,1 – I cannot afford these items,42237.0
"$15,000 to $24,999",37.0,No,Unstable,1 – I cannot afford these items,16428.0
"$15,000 to $24,999",25.0,Yes,Extremely unstable,2 – I can afford only some of these items,20796.0
"$15,000 to $24,999",39.0,Yes,Unstable,2 – I can afford only some of these items,15600.0
"Under $15,000",29.0,No,Unstable,1 – I cannot afford these items,14061.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,424.0
"$15,000 to $24,999",34.0,No,Unstable,1 – I cannot afford these items,20077.0
"Under $15,000",35.0,No,Unstable,1 – I cannot afford these items,6257.0
"$15,000 to $24,999",23.0,Yes,Unstable,2 – I can afford only some of these items,19409.0
"Under $15,000",68.0,Yes,Unstable,1 – I cannot afford these items,1257.0
"$15,000 to $24,999",66.0,No,Fluctuating,1 – I cannot afford these items,20231.0
"$35,000 to $49,999",35.0,No,Fluctuating,3 – my time fluctuates,49815.0
"$35,000 to $49,999",27.0,No,Unstable,2 – I can afford only some of these items,44038.0
"$15,000 to $24,999",35.0,No,Extremely unstable,2 – I can afford only some of these items,23947.0
"$35,000 to $49,999",42.0,No,Unstable,1 – I cannot afford these items,40824.0
"$35,000 to $49,999",26.0,No,Unstable,2 – I can afford only some of these items,44881.0
"Under $15,000",44.0,Yes,Unstable,3 – my time fluctuates,10139.0
"$15,000 to $24,999",49.0,Yes,Unstable,2 – I can afford only some of these items,18873.0
"Under $15,000",30.0,Yes,Fluctuating,2 – I can afford only some of these items,13531.0
"Under $15,000",47.0,No,Unstable,3 – my time fluctuates,1030.0
"$35,000 to $49,999",38.0,No,Extremely unstable,2 – I can afford only some of these items,46916.0
"$35,000 to $49,999",55.0,Yes,Unstable,2 – I can afford only some of these items,43665.0
"$35,000 to $49,999",44.0,Yes,Fluctuating,3 – my time fluctuates,38155.0
"$15,000 to $24,999",34.0,Yes,Fluctuating,3 – my time fluctuates,17977.0
"Under $15,000",32.0,No,Unstable,3 – my time fluctuates,4661.0
"$35,000 to $49,999",42.0,No,Fluctuating,3 – my time fluctuates,48761.0
"$15,000 to $24,999",27.0,No,Fluctuating,2 – I can afford only some of these items,20830.0
"$25,000 to $34,999",68.0,No,Fluctuating,2 – I can afford only some of these items,28180.0
"Under $15,000",28.0,Yes,Unstable,3 – my time fluctuates,369.0
"$25,000 to $34,999",61.0,No,Fluctuating,1 – I cannot afford these items,25167.0
"Under $15,000",32.0,No,Extremely unstable,2 – I can afford only some of these items,14678.0
"Under $15,000",28.0,Yes,Unstable,1 – I cannot afford these items,10875.0
"Under $15,000",28.0,No,Extremely unstable,1 – I cannot afford these items,3082.0
"Under $15,000",44.0,No,Unstable,2 – I can afford only some of these items,6959.0
"$25,000 to $34,999",25.0,Yes,Unstable,2 – I can afford only some of these items,30661.0
"$15,000 to $24,999",40.0,Yes,Fluctuating,1 – I cannot afford these items,16959.0
"$35,000 to $49,999",37.0,Yes,Fluctuating,2 – I can afford only some of these items,36760.0
"$25,000 to $34,999",37.0,Yes,Fluctuating,3 – my time fluctuates,32304.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,6213.0
"$25,000 to $34,999",38.0,No,Unstable,1 – I cannot afford these items,31490.0
"$15,000 to $24,999",29.0,No,Unstable,2 – I can afford only some of these items,20376.0
"Under $15,000",28.0,Yes,Extremely unstable,1 – I cannot afford these items,14088.0
