id,lgbtqiap
9NUOR33GSR,Yes  
6CMHKY5JBS,I prefer not to answer  
KQODI8M6BM,Yes  
4I7H2YKT50,Yes  
VIAQ2L8HUB,Yes  
S2WKSSJCW5,Yes  
6FL1XQKCK7,I prefer not to answer  
BJCGYUMDCC,No  
ASNJVJOUXN,Yes  
IVUD2GHJDD,Yes  
XZ05K1A5GN,Yes  
KVCFCCPBM5,No  
TGS16L8HPS,No  
6PCLFQZEQS,Yes  
ANJZWY4OAH,Yes  
71LBRJ55QL,Yes  
UOSVOMV3GH,Yes  
G8UUMTDQ3H,Yes  
6GA4IM8NUH,No  
7YTV6GNTTU,Yes  
6FP5RUJNZF,Yes  
5WW8MRFJD2,Yes  
E7CYOZ3SJX,Yes  
54TRSENVA0,No  
2466EZMLY0,Yes  
C3B15C1N7I,Yes  
INRM7CN5IL,I prefer not to answer  
NYIK2DAO4H,I prefer not to answer  
BU93NXHJCF,Yes  
IZR0GXAKDN,Yes  
CSZXICWIDB,Yes  
UL2M8W07VR,No  
JDPG5ORDM2,Yes  
DHEAQDOHN7,Yes  
JCY2IA4B5Y,Yes  
5O4IT89R4S,Yes  
QEGF39F9TA,Yes  
J2NFRYPLMO,No  
11ZUV2KSIW,Yes  
TY3ZPFWQZ0,No  
KRIIZJEBHH,No  
L7MQUXB4FY,Yes  
TUYT0ZI432,No  
S4DG3SFI9O,Yes  
4TYN73P0AM,Yes  
0WNX7MW2YH,Yes  
FSA8OZLEL2,No  
F4D8SQ3VZF,Yes  
OTQ2AGNZN5,Yes  
8S3T6P1Y22,Yes  
QM4G04H3F5,No  
UAODPOX8Q5,No  
LT8ZTK6WU7,I prefer not to answer  
IEGVV17EPS,Yes  
RK1XPS9DBK,No  
KJSVDEBQU9,Yes  
X7LTFM1LD9,No  
DLPKH5IRA5,No  
SIJLGNXEKU,Yes  
13BTRXXH7Y,Yes  
KTQWZYO5M8,Yes  
2K4REHMW5W,Yes  
IM6WM46B0H,No  
P18HLYJMF2,Yes  
GLKTRIWRT9,Yes  
G72VMME0J3,Yes  
81B299PZGZ,Yes  
A6W8CLXVVC,Yes  
D73SF8CU17,No  
811E4FHOZS,Yes  
M896SAU0G3,Yes  
OQFLN2AJRL,No  
X8Y0OVKJCW,No  
3NXJW3TB5B,Yes  
R4U8NXWF42,No  
SFCOIS7W5A,Yes  
T5073AB0RA,No  
RG0G27WXVJ,No  
UX2LGPDW3R,Yes  
N8S97UHDQJ,Yes  
I97GGAS7SM,Yes  
XN2B0WZ2OR,Yes  
LAC2L9AISC,Yes  
PSAGJYDN53,I prefer not to answer  
3A03BRSEWX,No  
2BS0HY1TQG,Yes  
E0QZISJ79K,Yes  
NT5TF807DR,Yes  
726RKRELQO,No  
7JDORAIJJY,I prefer not to answer  
AFGNXBY91P,Yes  
CUO4JY6HFB,Yes  
SK885S5N1H,No  
M9QEW6LHQK,Yes  
1EBNV1LHOG,No  
PAID6O0LKS,Yes  
31DFNK4IM3,Yes  
R14G5A8XB8,Yes  
L1EUQSY1TJ,Yes  
JV6YSITKQI,No  
WOY5XH2XA8,Yes  
Y9GFUX8AYJ,Yes  
N18KB0U17E,Yes  
46KMZJRJI4,Yes  
CX9QSJTLFL,No  
J7DGVJM7KH,Yes  
E4N9GKX5PT,Yes  
IDCV86LX2W,Yes  
VFLNJXXNFV,No  
TLPC7785BP,No  
KG2JYTAI4D,No  
BY8ZJV5X8H,Yes  
VMG9H5YDW2,Yes  
I2W2IV7GWE,No  
NW1WXPEK04,No  
501Z4RGD7N,Yes  
AEFWC75OXF,No  
4JKYCEOB96,Yes  
ZO4UBFYVBK,Yes  
T0OMOWR0XW,No  
8NK6EMF1GN,Yes  
Z3SVXSI6GS,No  
A9L34JM1M5,Yes  
J71C0E4NE7,Yes  
1U7FIEZ66X,No  
6N00B5JEMC,No  
46O14OLQ3Q,No  
40HHT15F03,No  
GDE5UQANZN,I prefer not to answer  
VYHY4A175B,Yes  
M5NAMG8SD3,No  
VOPAZY1NE6,No  
241BQACL6R,Yes  
FZ0V4SP1X4,Yes  
QR3B392ZH9,Yes  
GEYD8LMZWO,I prefer not to answer  
08ODX5WOP5,No  
R48A1JCJTB,Yes  
3NC2VDJ2IJ,No  
T85YWP21W3,Yes  
SOCV6YY7HT,I prefer not to answer  
J3ZQPFMDAE,Yes  
SNK0JNB7DT,No  
4JEKSWKWEJ,Yes  
EJ5B0CS2H5,Yes  
51GD4X227S,No  
E0KW394Y8O,Yes  
