earning_mode,household_income_2021,debt,age,income
Contracts or Temporary Jobs,"Under $15,000",No,22.0,12345.0
One or More Part-time Jobs,"Under $15,000",No,22.0,12708.0
Unemployed,"$15,000 to $24,999",Yes,34.0,22434.0
Art Practice,"$15,000 to $24,999",Yes,34.0,15824.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,17881.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,38.0,22245.0
Unemployed,"Under $15,000",No,33.0,12245.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,20484.0
Other,"$15,000 to $24,999",Yes,25.0,15883.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,16570.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,29666.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,31570.0
Unemployed,"$35,000 to $49,999",Yes,40.0,39918.0
Art Practice,"$35,000 to $49,999",Yes,40.0,35718.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,40.0,38205.0
Unemployed,"$15,000 to $24,999",No,26.0,16648.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,30.0,19325.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,16172.0
Fulltime Job,"$35,000 to $49,999",Yes,27.0,46076.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,40772.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,29.0,49004.0
Fulltime Job,"$25,000 to $34,999",Yes,31.0,28510.0
One or More Part-time Jobs,"$25,000 to $34,999",No,34.0,29053.0
Art Practice,"$15,000 to $24,999",No,32.0,24307.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,32.0,22436.0
Art Practice,"$35,000 to $49,999",Yes,33.0,47803.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,22043.0
Contracts or Temporary Jobs,"Under $15,000",Yes,37.0,35.0
Unemployed,"$15,000 to $24,999",Yes,28.0,22229.0
Other,"$15,000 to $24,999",Yes,28.0,15619.0
Unemployed,"$15,000 to $24,999",Yes,76.0,17380.0
Other,"$15,000 to $24,999",Yes,76.0,17837.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,25.0,45145.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,4285.0
Unemployed,"$15,000 to $24,999",No,42.0,15168.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,42.0,17023.0
One or More Part-time Jobs,"Under $15,000",Yes,24.0,2708.0
Contracts or Temporary Jobs,"Under $15,000",Yes,41.0,13245.0
Unemployed,"$35,000 to $49,999",Yes,26.0,36847.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,26.0,48089.0
Art Practice,"Under $15,000",Yes,45.0,1850.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,22597.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,20527.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,24937.0
Unemployed,"Under $15,000",Yes,72.0,11283.0
Contracts or Temporary Jobs,"Under $15,000",Yes,72.0,6439.0
One or More Part-time Jobs,"Under $15,000",Yes,72.0,1887.0
Unemployed,"$15,000 to $24,999",Yes,43.0,19768.0
Art Practice,"$15,000 to $24,999",Yes,43.0,22737.0
Unemployed,"Under $15,000",Yes,40.0,9134.0
Unemployed,"Under $15,000",Yes,44.0,9921.0
Art Practice,"Under $15,000",Yes,44.0,11960.0
Contracts or Temporary Jobs,"Under $15,000",Yes,44.0,9310.0
One or More Part-time Jobs,"Under $15,000",Yes,44.0,10491.0
Unemployed,"Under $15,000",Yes,35.0,9559.0
Family Support,"Under $15,000",Yes,35.0,2173.0
Other,"Under $15,000",Yes,35.0,3695.0
Unemployed,"$15,000 to $24,999",Yes,47.0,17719.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,47.0,23629.0
Unemployed,"$25,000 to $34,999",Yes,53.0,31431.0
Family Support,"$25,000 to $34,999",Yes,53.0,30816.0
Other,"$25,000 to $34,999",Yes,53.0,33790.0
One or More Part-time Jobs,"$15,000 to $24,999",No,21.0,16654.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,26.0,48251.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,26.0,45304.0
Unemployed,"Under $15,000",No,24.0,5618.0
Art Practice,"Under $15,000",No,24.0,1141.0
Contracts or Temporary Jobs,"Under $15,000",Yes,38.0,6877.0
Unemployed,"Under $15,000",Yes,22.0,7259.0
Art Practice,"Under $15,000",Yes,22.0,7601.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,33.0,16523.0
Unemployed,"$15,000 to $24,999",Yes,32.0,24518.0
Art Practice,"$15,000 to $24,999",Yes,32.0,20769.0
Fulltime Job,"$100,000 to $149,999",No,28.0,136574.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,23713.0
Unemployed,"$15,000 to $24,999",Yes,35.0,21967.0
Art Practice,"$25,000 to $34,999",Yes,44.0,30767.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,44.0,25171.0
Other,"$25,000 to $34,999",Yes,44.0,27400.0
